rho,p2,q2,p4,q4,p8,q8,p16,q16
1,1,1,1,1,1,1,1,1
1.00208,1,1,1,1,1,1,1,1
1.00417,1,1,1,1,1,1,1,1
1.00625,1,1,1,1,1,1,1,1
1.00833,1,1,1,1,1,1,1,1
1.01042,1,1,1,1,1,1,1,1
1.0125,1,1,1,1,1,1,1,1
1.01458,1,1,1,1,1,1,1,1
1.01667,1,1,1,1,1,1,1,1
1.01875,1,1,1,1,1,1,1,1
1.02083,1,1,1,1,1,1,1,1
1.02292,1,1,1,1,1,1,1,1
1.025,1,1,1,1,1,1,1,1
1.02708,1,1,1,1,1,1,1,1
1.02917,1,1,1,1,1,1,1,1
1.03125,1,1,1,1,1,1,1,1
1.03333,1,1,1,1,1,1,1,1
1.03542,1,1,1,1,1,1,1,1
1.0375,1,1,1,1,1,1,1,1
1.03958,1,1,1,1,1,1,1,1
1.04167,1,1,1,1,1,1,1,1
1.04375,1,1,1,1,1,1,1,1
1.04583,1,1,1,1,1,1,1,1
1.04792,1,1,1,1,1,1,1,1
1.05,1,1,1,1,1,1,1,1
1.05208,1,1,1,1,1,1,1,1
1.05417,1,1,1,1,1,1,1,1
1.05625,1,1,1,1,1,1,1,1
1.05833,1,1,1,1,1,1,1,1
1.06042,1,1,1,1,1,1,1,1
1.0625,1,1,1,1,1,1,17,16
1.06458,1,1,1,1,1,1,1,1
1.06667,1,1,1,1,1,1,16,15
1.06875,1,1,1,1,1,1,1,1
1.07083,1,1,1,1,1,1,1,1
1.07292,1,1,1,1,1,1,1,1
1.075,1,1,1,1,1,1,1,1
1.07708,1,1,1,1,1,1,14,13
1.07917,1,1,1,1,1,1,1,1
1.08125,1,1,1,1,1,1,1,1
1.08333,1,1,1,1,1,1,13,12
1.08542,1,1,1,1,1,1,1,1
1.0875,1,1,1,1,1,1,1,1
1.08958,1,1,1,1,1,1,1,1
1.09167,1,1,1,1,1,1,1,1
1.09375,1,1,1,1,1,1,1,1
1.09583,1,1,1,1,1,1,1,1
1.09792,1,1,1,1,1,1,1,1
1.1,1,1,1,1,1,1,11,10
1.10208,1,1,1,1,1,1,1,1
1.10417,1,1,1,1,1,1,1,1
1.10625,1,1,1,1,1,1,1,1
1.10833,1,1,1,1,1,1,1,1
1.11042,1,1,1,1,1,1,10,9
1.1125,1,1,1,1,1,1,1,1
1.11458,1,1,1,1,1,1,1,1
1.11667,1,1,1,1,1,1,1,1
1.11875,1,1,1,1,1,1,1,1
1.12083,1,1,1,1,1,1,1,1
1.12292,1,1,1,1,1,1,1,1
1.125,1,1,1,1,9,8,9,8
1.12708,1,1,1,1,1,1,1,1
1.12917,1,1,1,1,1,1,1,1
1.13125,1,1,1,1,1,1,1,1
1.13333,1,1,1,1,1,1,17,15
1.13542,1,1,1,1,1,1,1,1
1.1375,1,1,1,1,1,1,1,1
1.13958,1,1,1,1,1,1,1,1
1.14167,1,1,1,1,8,7,8,7
1.14375,1,1,1,1,8,7,8,7
