n,h
0,375.0000
1,350.7513
2,326.5026
3,302.2539
4,278.0052
5,253.7564
6,229.5077
7,205.2590
8,181.0103
9,156.7616
10,132.5129
11,108.2642
12,84.0155
13,59.7668
14,35.5180
15,11.2693
16,-12.9794
17,-37.2281
18,-61.4768
19,-85.7255
20,-109.9742
21,-134.2229
22,-158.4716
23,-182.7204
24,-206.9691
25,-231.2178
26,-243.5113
27,-253.7600
28,-264.0087
29,-274.2575
30,-284.5062
31,-294.7549
32,-305.0036
33,-315.2523
34,-325.5010
35,-335.7497
36,-345.9984
37,-352.0448
38,-352.0448
39,-352.0448
40,-352.0448
41,-352.0448
42,-352.0448
43,-352.0448
44,-352.0448
45,-352.0448
46,-352.0448
47,-352.0448
48,-352.0448
49,-352.0448
50,-352.0448
51,-352.0448
52,-352.0448
53,-352.0448
54,-352.0448
55,-352.0448
56,-352.0448
57,-352.0448
58,-352.0448
59,-352.0448
60,-352.0448
61,-352.0448
62,-352.0448
63,-352.0448
64,-352.0448
