n,h
0,520.0000
1,502.0000
2,484.0000
3,466.0000
4,448.0000
5,430.0000
6,412.0000
7,394.0000
8,376.0000
9,358.0000
10,340.0000
11,322.0000
12,304.0000
13,286.0000
14,268.0000
15,250.0000
16,232.0000
17,214.0000
18,196.0000
19,178.0000
20,160.0000
21,142.0000
22,124.0000
23,106.0000
24,88.0000
25,70.0000
26,52.0000
27,34.0000
28,16.0000
29,-2.0000
30,-20.0000
31,-38.0000
32,-56.0000
33,-74.0000
34,-92.0000
35,-110.0000
36,-128.0000
37,-146.0000
38,-164.0000
39,-182.0000
40,-200.0000
41,-218.0000
42,-236.0000
43,-254.0000
44,-272.0000
45,-290.0000
46,-308.0000
47,-326.0000
48,-344.0000
49,-362.0000
50,-380.0000
51,-398.0000
52,-416.0000
53,-434.0000
54,-452.0000
55,-470.0000
56,-488.0000
57,-506.0000
58,-524.0000
59,-542.0000
60,-560.0000
61,-578.0000
62,-596.0000
63,-614.0000
64,-632.0000
65,-650.0000
66,-668.0000
67,-686.0000
68,-704.0000
69,-722.0000
70,-740.0000
71,-758.0000
72,-776.0000
73,-794.0000
74,-812.0000
75,-830.0000
76,-848.0000
77,-866.0000
78,-884.0000
79,-902.0000
80,-920.0000
81,-938.0000
82,-956.0000
83,-974.0000
84,-992.0000
85,-1010.0000
86,-1028.0000
87,-1046.0000
88,-1064.0000
89,-1082.0000
90,-1100.0000
91,-1118.0000
92,-1136.0000
93,-1154.0000
94,-1172.0000
95,-1190.0000
96,-1208.0000
97,-1226.0000
98,-1244.0000
99,-1262.0000
100,-1280.0000
101,-1298.0000
102,-1316.0000
103,-1334.0000
104,-1352.0000
105,-1370.0000
106,-1388.0000
107,-1406.0000
108,-1424.0000
109,-1442.0000
110,-1460.0000
111,-1478.0000
112,-1496.0000
113,-1514.0000
114,-1532.0000
115,-1550.0000
116,-1568.0000
117,-1586.0000
118,-1604.0000
119,-1622.0000
120,-1640.0000
121,-1658.0000
122,-1676.0000
123,-1694.0000
124,-1712.0000
125,-1730.0000
126,-1748.0000
127,-1766.0000
128,-1784.0000
129,-1802.0000
130,-1820.0000
131,-1830.0000
132,-1840.0000
133,-1850.0000
134,-1860.0000
135,-1870.0000
136,-1880.0000
137,-1890.0000
138,-1900.0000
139,-1910.0000
140,-1920.0000
141,-1930.0000
142,-1940.0000
143,-1950.0000
144,-1960.0000
145,-1970.0000
146,-1980.0000
147,-1990.0000
148,-2000.0000
149,-2010.0000
150,-2020.0000
151,-2030.0000
152,-2040.0000
153,-2050.0000
154,-2060.0000
155,-2070.0000
156,-2080.0000
157,-2090.0000
158,-2100.0000
159,-2110.0000
160,-2120.0000
161,-2130.0000
162,-2140.0000
163,-2150.0000
164,-2160.0000
165,-2170.0000
166,-2180.0000
167,-2190.0000
168,-2200.0000
169,-2210.0000
170,-2220.0000
171,-2230.0000
172,-2240.0000
173,-2250.0000
174,-2260.0000
175,-2270.0000
176,-2280.0000
177,-2290.0000
178,-2300.0000
179,-2310.0000
180,-2320.0000
181,-2330.0000
182,-2340.0000
183,-2350.0000
184,-2360.0000
185,-2370.0000
186,-2380.0000
187,-2390.0000
188,-2400.0000
189,-2410.0000
190,-2420.0000
191,-2430.0000
192,-2440.0000
193,-2450.0000
194,-2460.0000
195,-2470.0000
196,-2480.0000
197,-2490.0000
198,-2500.0000
199,-2510.0000
200,-2520.0000
201,-2530.0000
202,-2540.0000
203,-2550.0000
204,-2560.0000
205,-2570.0000
206,-2580.0000
207,-2590.0000
208,-2600.0000
209,-2610.0000
210,-2620.0000
211,-2630.0000
212,-2640.0000
213,-2650.0000
214,-2660.0000
215,-2670.0000
216,-2680.0000
217,-2690.0000
218,-2700.0000
219,-2710.0000
220,-2720.0000
221,-2730.0000
222,-2740.0000
223,-2750.0000
224,-2760.0000
225,-2770.0000
226,-2780.0000
227,-2790.0000
228,-2800.0000
229,-2810.0000
230,-2820.0000
231,-2830.0000
232,-2840.0000
233,-2850.0000
234,-2860.0000
235,-2870.0000
236,-2880.0000
237,-2890.0000
238,-2900.0000
239,-2910.0000
240,-2920.0000
241,-2930.0000
242,-2940.0000
243,-2950.0000
244,-2960.0000
245,-2970.0000
246,-2980.0000
247,-2990.0000
248,-3000.0000
249,-3010.0000
250,-3020.0000
251,-3030.0000
252,-3040.0000
253,-3050.0000
254,-3060.0000
255,-3070.0000
256,-3080.0000
257,-3090.0000
258,-3100.0000
259,-3110.0000
260,-3120.0000
