duty,two,three
0.180000,0.037085,0.027108
0.182667,0.037372,0.027013
0.185333,0.037648,0.026902
0.188000,0.037915,0.026773
0.190667,0.038170,0.026628
0.193333,0.038415,0.026465
0.196000,0.038649,0.026286
0.198667,0.038872,0.026090
0.201333,0.039084,0.025878
0.204000,0.039285,0.025650
0.206667,0.039475,0.025405
0.209333,0.039655,0.025144
0.212000,0.039823,0.024867
0.214667,0.039979,0.024575
0.217333,0.040125,0.024267
0.220000,0.040259,0.023944
0.222667,0.040382,0.023605
0.225333,0.040494,0.023252
0.228000,0.040594,0.022884
0.230667,0.040683,0.022502
0.233333,0.040761,0.022105
0.236000,0.040827,0.021695
0.238667,0.040881,0.021270
0.241333,0.040925,0.020833
0.244000,0.040956,0.020382
0.246667,0.040976,0.019918
0.249333,0.040985,0.019442
0.252000,0.040982,0.018953
0.254667,0.040968,0.018452
0.257333,0.040942,0.017940
0.260000,0.040904,0.017417
0.262667,0.040856,0.016882
0.265333,0.040795,0.016337
0.268000,0.040723,0.015781
0.270667,0.040640,0.015216
0.273333,0.040546,0.014641
0.276000,0.040440,0.014056
0.278667,0.040322,0.013463
0.281333,0.040194,0.012861
0.284000,0.040054,0.012251
0.286667,0.039902,0.011634
0.289333,0.039740,0.011009
0.292000,0.039566,0.010377
0.294667,0.039382,0.009738
0.297333,0.039186,0.009094
0.300000,0.038979,0.008443
0.302667,0.038762,0.007788
0.305333,0.038533,0.007127
0.308000,0.038294,0.006462
0.310667,0.038044,0.005793
0.313333,0.037783,0.005120
0.316000,0.037511,0.004444
0.318667,0.037229,0.003765
0.321333,0.036937,0.003084
0.324000,0.036634,0.002400
0.326667,0.036321,0.001716
0.329333,0.035998,0.001030
0.332000,0.035665,0.000343
0.334667,0.035321,0.000343
0.337333,0.034968,0.001030
0.340000,0.034605,0.001716
0.342667,0.034232,0.002400
0.345333,0.033850,0.003084
0.348000,0.033458,0.003765
0.350667,0.033057,0.004444
0.353333,0.032646,0.005120
0.356000,0.032226,0.005793
0.358667,0.031797,0.006462
0.361333,0.031360,0.007127
0.364000,0.030913,0.007788
0.366667,0.030458,0.008443
0.369333,0.029994,0.009094
0.372000,0.029522,0.009738
0.374667,0.029042,0.010377
0.377333,0.028553,0.011009
0.380000,0.028056,0.011634
0.382667,0.027552,0.012251
0.385333,0.027040,0.012861
0.388000,0.026520,0.013463
0.390667,0.025992,0.014056
0.393333,0.025458,0.014641
0.396000,0.024916,0.015216
0.398667,0.024367,0.015781
0.401333,0.023812,0.016337
0.404000,0.023250,0.016882
0.406667,0.022681,0.017417
0.409333,0.022106,0.017940
0.412000,0.021524,0.018452
0.414667,0.020937,0.018953
0.417333,0.020344,0.019442
0.420000,0.019745,0.019918
0.422667,0.019140,0.020382
0.425333,0.018530,0.020833
0.428000,0.017915,0.021270
0.430667,0.017295,0.021695
0.433333,0.016670,0.022105
0.436000,0.016041,0.022502
0.438667,0.015406,0.022884
0.441333,0.014768,0.023252
0.444000,0.014125,0.023605
0.446667,0.013479,0.023944
0.449333,0.012828,0.024267
0.452000,0.012174,0.024575
0.454667,0.011517,0.024867
0.457333,0.010856,0.025144
0.460000,0.010193,0.025405
0.462667,0.009526,0.025650
0.465333,0.008857,0.025878
0.468000,0.008185,0.026090
0.470667,0.007511,0.026286
0.473333,0.006835,0.026465
0.476000,0.006157,0.026628
0.478667,0.005477,0.026773
0.481333,0.004796,0.026902
0.484000,0.004113,0.027013
0.486667,0.003430,0.027108
0.489333,0.002745,0.027186
0.492000,0.002059,0.027246
0.494667,0.001373,0.027289
0.497333,0.000687,0.027315
0.500000,0.000000,0.027324
0.502667,0.000687,0.027315
0.505333,0.001373,0.027289
0.508000,0.002059,0.027246
0.510667,0.002745,0.027186
0.513333,0.003430,0.027108
0.516000,0.004113,0.027013
0.518667,0.004796,0.026902
0.521333,0.005477,0.026773
0.524000,0.006157,0.026628
0.526667,0.006835,0.026465
0.529333,0.007511,0.026286
0.532000,0.008185,0.026090
0.534667,0.008857,0.025878
0.537333,0.009526,0.025650
0.540000,0.010193,0.025405
0.542667,0.010856,0.025144
0.545333,0.011517,0.024867
0.548000,0.012174,0.024575
0.550667,0.012828,0.024267
0.553333,0.013479,0.023944
0.556000,0.014125,0.023605
0.558667,0.014768,0.023252
0.561333,0.015406,0.022884
0.564000,0.016041,0.022502
0.566667,0.016670,0.022105
0.569333,0.017295,0.021695
0.572000,0.017915,0.021270
0.574667,0.018530,0.020833
0.577333,0.019140,0.020382
0.580000,0.019745,0.019918
0.582667,0.020344,0.019442
0.585333,0.020937,0.018953
0.588000,0.021524,0.018452
0.590667,0.022106,0.017940
0.593333,0.022681,0.017417
0.596000,0.023250,0.016882
0.598667,0.023812,0.016337
0.601333,0.024367,0.015781
0.604000,0.024916,0.015216
0.606667,0.025458,0.014641
0.609333,0.025992,0.014056
0.612000,0.026520,0.013463
0.614667,0.027040,0.012861
0.617333,0.027552,0.012251
0.620000,0.028056,0.011634
0.622667,0.028553,0.011009
0.625333,0.029042,0.010377
0.628000,0.029522,0.009738
0.630667,0.029994,0.009094
0.633333,0.030458,0.008443
0.636000,0.030913,0.007788
0.638667,0.031360,0.007127
0.641333,0.031797,0.006462
0.644000,0.032226,0.005793
0.646667,0.032646,0.005120
0.649333,0.033057,0.004444
0.652000,0.033458,0.003765
0.654667,0.033850,0.003084
0.657333,0.034232,0.002400
0.660000,0.034605,0.001716
0.662667,0.034968,0.001030
0.665333,0.035321,0.000343
0.668000,0.035665,0.000343
0.670667,0.035998,0.001030
0.673333,0.036321,0.001716
0.676000,0.036634,0.002400
0.678667,0.036937,0.003084
0.681333,0.037229,0.003765
0.684000,0.037511,0.004444
0.686667,0.037783,0.005120
0.689333,0.038044,0.005793
0.692000,0.038294,0.006462
0.694667,0.038533,0.007127
0.697333,0.038762,0.007788
0.700000,0.038979,0.008443
0.702667,0.039186,0.009094
0.705333,0.039382,0.009738
0.708000,0.039566,0.010377
0.710667,0.039740,0.011009
0.713333,0.039902,0.011634
0.716000,0.040054,0.012251
0.718667,0.040194,0.012861
0.721333,0.040322,0.013463
0.724000,0.040440,0.014056
0.726667,0.040546,0.014641
0.729333,0.040640,0.015216
0.732000,0.040723,0.015781
0.734667,0.040795,0.016337
0.737333,0.040856,0.016882
0.740000,0.040904,0.017417
0.742667,0.040942,0.017940
0.745333,0.040968,0.018452
0.748000,0.040982,0.018953
0.750667,0.040985,0.019442
0.753333,0.040976,0.019918
0.756000,0.040956,0.020382
0.758667,0.040925,0.020833
0.761333,0.040881,0.021270
0.764000,0.040827,0.021695
0.766667,0.040761,0.022105
0.769333,0.040683,0.022502
0.772000,0.040594,0.022884
0.774667,0.040494,0.023252
0.777333,0.040382,0.023605
0.780000,0.040259,0.023944
0.782667,0.040125,0.024267
0.785333,0.039979,0.024575
0.788000,0.039823,0.024867
0.790667,0.039655,0.025144
0.793333,0.039475,0.025405
0.796000,0.039285,0.025650
0.798667,0.039084,0.025878
0.801333,0.038872,0.026090
0.804000,0.038649,0.026286
0.806667,0.038415,0.026465
0.809333,0.038170,0.026628
0.812000,0.037915,0.026773
0.814667,0.037648,0.026902
0.817333,0.037372,0.027013
0.820000,0.037085,0.027108
