radius,stray,span,evaluated
40,0,4,4.0
60,0,5,4.3
80,1,4,4.0
100,1,4,3.8
120,1,5,4.4
140,1,5,4.3
160,1,5,4.7
180,2,5,4.4
200,2,6,5.3
220,2,6,5.2
240,2,5,4.6
260,2,6,5.4
280,2,6,5.3
300,2,7,6.1
320,2,6,5.4
340,2,7,6.1
360,2,7,6.1
380,2,7,6.1
400,3,8,6.6
420,4,7,6.2
440,4,8,6.9
460,4,8,6.7
480,4,9,7.5
500,5,8,6.9
520,5,8,6.8
540,5,9,7.6
560,5,9,7.5
580,5,9,7.6
600,5,9,7.7
620,5,10,8.4
640,5,10,8.3
660,5,9,7.6
680,5,10,8.4
700,6,10,8.4
720,6,11,8.9
740,7,10,8.4
760,7,11,9.3
780,7,11,8.9
800,7,11,8.8
820,7,12,9.7
840,8,11,8.9
860,8,12,9.9
880,8,12,9.8
900,8,13,10.4
920,8,12,9.9
940,8,12,9.8
960,8,13,10.6
980,8,13,10.6
1000,8,13,10.8
1020,9,13,10.6
1040,9,14,11.4
1060,9,14,11.3
1080,9,13,10.7
1100,9,14,11.6
1120,9,14,11.3
1140,9,15,12.0
1160,9,14,11.6
1180,11,15,12.1
1200,11,15,12.1
1220,11,15,12.1
1240,11,16,12.8
1260,11,15,12.2
1280,11,16,12.9
1300,11,16,12.7
1320,11,17,13.6
1340,11,16,12.9
1360,11,16,12.9
1380,11,17,13.6
1400,11,17,13.6
1420,11,17,13.8
1440,11,17,13.8
1460,12,18,14.4
1480,12,18,14.3
1500,12,17,13.7
1520,15,18,14.4
1540,15,18,14.2
1560,15,19,14.9
1580,15,19,14.9
1600,15,19,15.1
