radius,nStar,naive,kappaBound
20,1,1.429,1.010
30,2,2.143,1.515
40,3,2.857,2.020
50,3,3.571,2.525
60,4,4.286,3.030
70,5,5.000,3.536
80,5,5.714,4.041
90,6,6.429,4.546
100,7,7.143,5.051
110,8,7.857,5.556
120,8,8.571,6.061
130,9,9.286,6.566
140,10,10.000,7.071
150,10,10.714,7.576
160,11,11.429,8.081
170,12,12.143,8.586
180,13,12.857,9.091
190,13,13.571,9.596
200,14,14.286,10.102
210,15,15.000,10.607
220,16,15.714,11.112
230,16,16.429,11.617
240,17,17.143,12.122
250,18,17.857,12.627
260,19,18.571,13.132
270,19,19.286,13.637
280,20,20.000,14.142
290,21,20.714,14.647
300,21,21.429,15.152
310,22,22.143,15.657
320,23,22.857,16.162
330,24,23.571,16.668
340,24,24.286,17.173
350,25,25.000,17.678
360,26,25.714,18.183
370,26,26.429,18.688
380,27,27.143,19.193
390,28,27.857,19.698
400,28,28.571,20.203
410,29,29.286,20.708
420,30,30.000,21.213
430,30,30.714,21.718
440,31,31.429,22.223
450,31,32.143,22.728
460,32,32.857,23.234
470,33,33.571,23.739
480,33,34.286,24.244
490,34,35.000,24.749
500,34,35.714,25.254
510,35,36.429,25.759
520,36,37.143,26.264
530,36,37.857,26.769
540,37,38.571,27.274
550,37,39.286,27.779
560,38,40.000,28.284
570,38,40.714,28.789
580,39,41.429,29.294
590,39,42.143,29.800
600,40,42.857,30.305
610,40,43.571,30.810
620,41,44.286,31.315
630,41,45.000,31.820
640,42,45.714,32.325
650,42,46.429,32.830
660,43,47.143,33.335
670,43,47.857,33.840
680,44,48.571,34.345
690,44,49.286,34.850
700,45,50.000,35.355
710,45,50.714,35.860
720,45,51.429,36.365
730,46,52.143,36.871
740,46,52.857,37.376
750,47,53.571,37.881
760,47,54.286,38.386
770,47,55.000,38.891
780,48,55.714,39.396
790,48,56.429,39.901
800,49,57.143,40.406
810,49,57.857,40.911
820,49,58.571,41.416
830,50,59.286,41.921
840,50,60.000,42.426
850,50,60.714,42.931
860,51,61.429,43.437
870,51,62.143,43.942
880,52,62.857,44.447
890,52,63.571,44.952
900,52,64.286,45.457
910,53,65.000,45.962
920,53,65.714,46.467
930,53,66.429,46.972
940,53,67.143,47.477
950,54,67.857,47.982
960,54,68.571,48.487
970,54,69.286,48.992
980,55,70.000,49.497
990,55,70.714,50.003
1000,55,71.429,50.508
1010,56,72.143,51.013
1020,56,72.857,51.518
1030,56,73.571,52.023
1040,56,74.286,52.528
1050,57,75.000,53.033
1060,57,75.714,53.538
1070,57,76.429,54.043
1080,57,77.143,54.548
1090,58,77.857,55.053
1100,58,78.571,55.558
1110,58,79.286,56.063
1120,59,80.000,56.569
1130,59,80.714,57.074
1140,59,81.429,57.579
1150,59,82.143,58.084
1160,59,82.857,58.589
1170,67,83.571,59.094
1180,70,84.286,59.599
1190,61,85.000,60.104
1200,78,85.714,60.609
1210,80,86.429,61.114
1220,82,87.143,61.619
1230,83,87.857,62.124
1240,85,88.571,62.629
1250,86,89.286,63.135
1260,87,90.000,63.640
1270,89,90.714,64.145
1280,90,91.429,64.650
1290,91,92.143,65.155
1300,92,92.857,65.660
1310,93,93.571,66.165
1320,94,94.286,66.670
1330,95,95.000,67.175
1340,95,95.714,67.680
1350,96,96.429,68.185
1360,97,97.143,68.690
1370,98,97.857,69.195
1380,99,98.571,69.701
1390,99,99.286,70.206
1400,100,100.000,70.711
1410,101,100.714,71.216
1420,101,101.429,71.721
1430,102,102.143,72.226
1440,103,102.857,72.731
1450,103,103.571,73.236
1460,104,104.286,73.741
1470,104,105.000,74.246
1480,105,105.714,74.751
1490,106,106.429,75.256
1500,106,107.143,75.761
1510,107,107.857,76.267
1520,107,108.571,76.772
1530,108,109.286,77.277
1540,108,110.000,77.782
1550,109,110.714,78.287
1560,109,111.429,78.792
1570,110,112.143,79.297
1580,110,112.857,79.802
1590,111,113.571,80.307
1600,111,114.286,80.812
