radius,stray,span,evaluated
40,1,5,4.2
60,1,6,4.5
80,1,6,4.5
100,1,7,4.5
120,1,8,5.1
140,1,8,5.0
160,2,10,5.6
180,2,10,5.7
200,3,11,6.1
220,3,11,5.9
240,3,12,6.1
260,4,13,6.5
280,5,13,6.4
300,6,15,7.0
320,6,15,6.9
340,7,16,7.4
360,8,16,7.3
380,9,17,7.4
400,10,18,7.8
420,11,18,7.8
440,12,20,8.3
460,13,20,8.3
480,14,21,8.7
500,15,21,8.6
520,16,22,8.4
540,17,23,9.0
560,18,23,9.0
580,19,25,9.5
600,20,25,9.3
620,21,26,9.7
640,21,26,9.7
660,23,27,9.5
680,23,28,10.2
700,24,28,10.1
720,24,30,10.5
740,26,30,10.6
760,26,31,10.9
780,27,31,10.9
800,27,32,10.8
820,28,33,11.4
840,28,33,11.3
860,28,35,11.8
880,29,35,11.5
900,30,36,12.1
920,30,36,12.0
940,30,37,12.1
960,30,38,12.3
980,31,38,12.5
1000,32,40,12.9
1020,32,40,12.7
1040,32,41,13.1
1060,34,41,13.3
1080,34,42,13.2
1100,34,43,13.4
1120,36,43,13.4
1140,36,45,13.9
1160,39,45,13.9
1180,39,46,14.4
1200,41,46,14.1
1220,41,47,14.3
1240,42,48,14.7
1260,42,48,14.5
1280,42,50,15.0
1300,42,50,15.0
1320,42,51,15.3
1340,47,51,15.3
1360,47,52,15.4
1380,47,53,15.9
1400,47,53,15.5
1420,49,55,16.2
1440,49,55,16.1
1460,49,56,16.5
1480,52,56,16.2
1500,52,57,16.4
1520,53,58,16.9
1540,53,58,16.7
1560,53,60,17.3
1580,53,60,17.2
1600,53,61,17.4
