gap,measured,predicted,ideal
0.0531,0.3961,0.3961,0.3817
0.3871,0.651,0.651,0.6571
0.1025,0.4334,0.4334,0.4311
0.487,0.6571,0.6571,0.6571
0.1639,0.4926,0.4925,0.4925
0.4064,0.6539,0.6539,0.6571
0.01,0.3806,0.3806,0.3386
0.4671,0.657,0.657,0.6571
0.0158,0.3815,0.3815,0.3444
0.1636,0.4922,0.4922,0.4922
0.3529,0.6418,0.6418,0.6571
0.2082,0.5363,0.5363,0.5367
0.1441,0.4729,0.4729,0.4727
0.2584,0.5828,0.5828,0.587
0.1089,0.4391,0.4391,0.4374
0.4386,0.6564,0.6563,0.6571
0.0898,0.4224,0.4224,0.4184
0.0511,0.395,0.395,0.3797
0.4058,0.6539,0.6539,0.6571
0.0619,0.4015,0.4015,0.3905
0.4443,0.6566,0.6566,0.6571
0.3324,0.6333,0.6333,0.6571
0.0348,0.3871,0.3871,0.3634
0.489,0.6571,0.6571,0.6571
0.0202,0.3824,0.3824,0.3488
0.1208,0.4503,0.4503,0.4494
0.3329,0.6336,0.6335,0.6571
0.1369,0.4658,0.4658,0.4655
0.4803,0.6571,0.6571,0.6571
0.4076,0.6541,0.6541,0.6571
0.0404,0.3895,0.3895,0.3689
0.4157,0.6549,0.6549,0.6571
0.0501,0.3944,0.3944,0.3786
0.1911,0.5196,0.5196,0.5197
0.2592,0.5834,0.5835,0.5878
0.213,0.541,0.5409,0.5415
0.4036,0.6536,0.6536,0.6571
0.2942,0.6108,0.6108,0.6228
0.3068,0.6191,0.6191,0.6354
0.1791,0.5076,0.5076,0.5076
0.2595,0.5837,0.5837,0.588
0.1211,0.4506,0.4506,0.4497
0.3504,0.6409,0.6409,0.6571
0.0956,0.4273,0.4273,0.4241
0.4474,0.6567,0.6566,0.6571
0.0056,0.3802,0.3802,0.3342
0.4367,0.6563,0.6563,0.6571
0.0478,0.3931,0.3931,0.3763
0.4655,0.657,0.657,0.6571
0.0465,0.3925,0.3925,0.3751
0.4479,0.6567,0.6567,0.6571
0.0301,0.3853,0.3854,0.3587
0.3581,0.6436,0.6436,0.6571
0.2727,0.5946,0.5947,0.6013
0.1905,0.5189,0.5189,0.5191
0.2647,0.5881,0.5881,0.5933
0.4055,0.6538,0.6538,0.6571
0.0332,0.3864,0.3865,0.3617
0.4477,0.6566,0.6567,0.6571
0.165,0.4935,0.4935,0.4935
0.1539,0.4825,0.4826,0.4825
0.2818,0.6018,0.6018,0.6104
0.1954,0.5238,0.5238,0.524
0.3931,0.6521,0.6521,0.6571
0.1969,0.5252,0.5252,0.5255
0.2901,0.6078,0.6078,0.6186
0.1324,0.4614,0.4614,0.461
0.0264,0.3841,0.3841,0.355
0.3796,0.6495,0.6495,0.6571
0.1214,0.4508,0.4509,0.45
0.4566,0.6569,0.6569,0.6571
0.4161,0.6549,0.6549,0.6571
0.0393,0.389,0.389,0.3678
0.4184,0.6551,0.6551,0.6571
0.1107,0.4408,0.4408,0.4393
0.4846,0.6571,0.6571,0.6571
0.0423,0.3904,0.3904,0.3709
0.4846,0.6571,0.6571,0.6571
0.3755,0.6485,0.6485,0.6571
0.2,0.5283,0.5283,0.5285
0.3077,0.6197,0.6197,0.6362
0.0864,0.4196,0.4196,0.4149
0.4014,0.6533,0.6533,0.6571
0.1215,0.4509,0.4509,0.4501
0.4411,0.6564,0.6564,0.6571
0.3016,0.6158,0.6158,0.6301
0.2791,0.5997,0.5997,0.6077
0.224,0.5515,0.5515,0.5525
0.173,0.5016,0.5016,0.5016
0.3171,0.6253,0.6253,0.6457
0.2015,0.5298,0.5298,0.5301
0.3663,0.6461,0.6461,0.6571
0.2272,0.5546,0.5546,0.5558
0.359,0.6439,0.6439,0.6571
0.1392,0.4681,0.468,0.4678
0.2611,0.5851,0.5851,0.5897
0.2316,0.5587,0.5587,0.5602
0.2823,0.6021,0.6021,0.6109
0.291,0.6085,0.6085,0.6195
0.1525,0.4812,0.4812,0.4811
0.4396,0.6564,0.6564,0.6571
0.0534,0.3963,0.3963,0.382
0.3507,0.641,0.641,0.6571
0.1451,0.4739,0.4738,0.4737
0.3638,0.6454,0.6454,0.6571
0.2153,0.5432,0.5432,0.5438
0.0775,0.4125,0.4125,0.406
0.4792,0.6571,0.6571,0.6571
0.0333,0.3866,0.3865,0.3619
0.4516,0.6567,0.6568,0.6571
0.1213,0.4507,0.4507,0.4499
0.4068,0.654,0.654,0.6571
0.0177,0.3819,0.3819,0.3463
0.1254,0.4546,0.4546,0.454
0.4526,0.6568,0.6568,0.6571
0.0618,0.4014,0.4014,0.3903
0.1579,0.4864,0.4865,0.4864
0.3738,0.6481,0.6481,0.6571
0.1901,0.5186,0.5185,0.5187
0.1867,0.5152,0.5152,0.5153
0.1768,0.5054,0.5054,0.5054
0.379,0.6494,0.6494,0.6571
0.1648,0.4933,0.4933,0.4933
0.1209,0.4504,0.4504,0.4495
0.3877,0.6512,0.6511,0.6571
0.014,0.3811,0.3812,0.3425
0.1492,0.4779,0.4779,0.4778
0.2322,0.5592,0.5592,0.5607
0.2996,0.6145,0.6144,0.6281
0.1721,0.5007,0.5006,0.5006
0.3845,0.6505,0.6505,0.6571
0.1631,0.4916,0.4917,0.4916
0.2056,0.5338,0.5338,0.5342
0.109,0.4392,0.4393,0.4376
0.2918,0.6091,0.6091,0.6204
0.2134,0.5414,0.5414,0.542
0.1203,0.4497,0.4498,0.4488
0.3672,0.6464,0.6464,0.6571
0.0479,0.3932,0.3932,0.3764
0.4073,0.654,0.654,0.6571
0.0658,0.4041,0.4041,0.3943
0.3563,0.643,0.643,0.6571
0.1198,0.4493,0.4493,0.4484
0.396,0.6525,0.6525,0.6571
0.134,0.4629,0.4629,0.4625
0.2454,0.5713,0.5714,0.574
0.3773,0.649,0.649,0.6571
0.0191,0.3822,0.3822,0.3477
0.4262,0.6557,0.6557,0.6571
0.1193,0.4488,0.4488,0.4479
0.345,0.6388,0.6388,0.6571
0.0843,0.4179,0.4179,0.4129
0.43,0.6559,0.6559,0.6571
0.3452,0.6389,0.6389,0.6571
0.0313,0.3858,0.3858,0.3599
0.4978,0.6571,0.6571,0.6571
0.4083,0.6542,0.6542,0.6571
0.1026,0.4335,0.4334,0.4311
0.288,0.6064,0.6064,0.6166
0.3726,0.6478,0.6478,0.6571
0.3105,0.6214,0.6214,0.6391
0.0859,0.4192,0.4192,0.4145
0.4149,0.6548,0.6548,0.6571
