n,h,lower,upper
0,620.0000,344.3835,688.7670
1,610.3756,329.5335,676.2098
2,600.5009,314.6835,663.6527
3,590.3735,299.8335,651.0955
4,579.9915,284.9835,638.5383
5,569.3526,270.1335,625.9811
6,558.4550,255.2835,613.4239
7,547.2969,240.4335,600.8668
8,535.8764,225.5835,588.3096
9,524.1920,210.7335,575.7524
10,512.2421,195.8835,563.1952
11,500.0253,181.0335,550.6380
12,487.5403,166.1835,538.0809
13,474.7860,151.3335,525.5237
14,461.7611,136.4835,512.9665
15,448.4647,121.6335,500.4093
16,434.8959,106.7835,487.8521
17,421.0540,91.9335,475.2950
18,406.9383,77.0835,462.7378
19,392.5482,62.2335,450.1806
20,377.8833,47.3835,437.6234
21,362.9433,32.5335,425.0662
22,347.7279,17.6835,412.5091
23,332.2370,2.8335,399.9519
24,316.4706,-12.0165,387.3947
25,300.4288,-26.8665,374.8375
26,284.1119,-41.7165,362.2803
27,267.5202,-56.5665,349.7232
28,250.6540,-71.4165,337.1660
29,233.5140,-86.2665,324.6088
30,216.1008,-101.1165,312.0516
31,198.4152,-115.9665,299.4944
32,180.4580,-130.8165,286.9373
33,162.2302,-145.6665,274.3801
34,143.7330,-160.5165,261.8229
35,124.9675,-175.3665,249.2657
36,105.9350,-190.2165,236.7085
37,86.6369,-205.0665,224.1514
38,67.0748,-219.9165,211.5942
39,47.2502,-234.7665,199.0370
40,27.1650,-249.6165,186.4798
41,6.8209,-264.4665,173.9226
42,-13.7801,-279.3165,161.3655
43,-34.6360,-294.1665,148.8083
44,-55.7446,-309.0165,136.2511
45,-77.1037,-323.8665,123.6939
46,-98.7110,-338.7165,111.1367
47,-120.5640,-353.5665,98.5796
48,-142.6601,-368.4165,86.0224
49,-164.9968,-383.2665,73.4652
50,-187.5713,-398.1165,60.9080
51,-210.3807,-412.9665,48.3509
52,-233.4222,-427.8165,35.7937
53,-256.6927,-442.6665,23.2365
54,-280.1891,-457.5165,10.6793
55,-303.9082,-472.3665,-1.8779
56,-327.8468,-487.2165,-14.4350
57,-352.0014,-502.0665,-26.9922
58,-376.3686,-516.9165,-39.5494
59,-400.9448,-531.7665,-52.1066
60,-425.7265,-546.6165,-64.6638
61,-450.7098,-561.4665,-77.2209
62,-475.8911,-576.3165,-89.7781
63,-501.2664,-591.1665,-102.3353
64,-526.8318,-606.0165,-114.8925
65,-552.5833,-620.8665,-127.4497
66,-578.5167,-635.7165,-140.0068
67,-595.0002,-650.5665,-152.5640
68,-594.7432,-665.4165,-165.1212
69,-594.5900,-680.2665,-177.6784
70,-594.5454,-695.1165,-190.2356
71,-594.6147,-709.9665,-202.7927
72,-594.8027,-724.8165,-215.3499
73,-595.1144,-739.6665,-227.9071
74,-595.5548,-754.5165,-240.4643
