spanMedian,spanP90,inkAtLeast,fits,driftRatio,spacing,zoom,theta,shape
4,4,1,1,0,1,8,0.002,circle
4,5,1,1,0,1,2,0.002,circle
6,6,1,1,0,1,1,0.002,circle
11,12,1,1,0,1,0.4,0.002,circle
27,27,1,1,0,1,0.15,0.002,circle
48,49,1,1,0,1,0.08,0.002,circle
4,4,1,1,0,1,8,0.01,circle
4,5,1,1,0,1,2,0.01,circle
6,6,1,1,0,1,1,0.01,circle
11,12,1,1,0,1,0.4,0.01,circle
27,27,1,1,0,1,0.15,0.01,circle
48,49,1,1,0,1,0.08,0.01,circle
4,4,1,1,0,1,8,0.05,circle
4,5,1,1,0,1,2,0.05,circle
6,6,1,1,0,1,1,0.05,circle
11,12,1,1,0,1,0.4,0.05,circle
27,27,1,1,0,1,0.15,0.05,circle
48,49,1,1,0,1,0.08,0.05,circle
4,4,1,1,0,1,8,0.2,circle
4,5,1,1,0,1,2,0.2,circle
6,6,1,1,0,1,1,0.2,circle
11,12,1,1,0,1,0.4,0.2,circle
27,27,1,1,0,1,0.15,0.2,circle
48,49,1,1,0,1,0.08,0.2,circle
65537,65537,0.49,0,1,1,8,0,circle
65537,65537,0.492,0,1,1,2,0,circle
65537,65537,0.504,0,1,1,1,0,circle
65537,65537,0.504,0,1,1,0.4,0,circle
65537,65537,0.504,0,1,1,0.15,0,circle
65537,65537,0.504,0,1,1,0.08,0,circle
65537,65537,1,0,1,1,8,0.002,circle
65537,65537,0.801,0,1,1,2,0.002,circle
65537,65537,0.732,0,1,1,1,0.002,circle
65537,65537,0.666,0,1,1,0.4,0.002,circle
65537,65537,0.678,0,1,1,0.15,0.002,circle
65537,65537,0.688,0,1,1,0.08,0.002,circle
65537,65537,0.752,0,1,1,8,0.01,circle
65537,65537,0.525,0,1,1,2,0.01,circle
65537,65537,0.506,0,1,1,1,0.01,circle
65537,65537,0.594,0,1,1,0.4,0.01,circle
65537,65537,0.611,0,1,1,0.15,0.01,circle
65537,65537,0.637,0,1,1,0.08,0.01,circle
65537,65537,1,0,1,1,8,0.05,circle
65537,65537,0.813,0,1,1,2,0.05,circle
65537,65537,0.662,0,1,1,1,0.05,circle
65537,65537,0.693,0,1,1,0.4,0.05,circle
65537,65537,0.736,0,1,1,0.15,0.05,circle
65537,65537,0.688,0,1,1,0.08,0.05,circle
65537,65537,1,0,1,1,8,0.2,circle
65537,65537,0.813,0,1,1,2,0.2,circle
65537,65537,0.723,0,1,1,1,0.2,circle
65537,65537,0.619,0,1,1,0.4,0.2,circle
65537,65537,0.65,0,1,1,0.15,0.2,circle
65537,65537,0.629,0,1,1,0.08,0.2,circle
22,31,0.076,1,2.5,1,8,0,circle
77,115,0.076,1,2.5,1,2,0,circle
152,228,0.076,1,2.5,1,1,0,circle
378,567,0.076,1,2.5,1,0.4,0,circle
1005,1508,0.076,0,2.5,1,0.15,0,circle
1884,2826,0.076,0,2.5,1,0.08,0,circle
22,31,0.082,1,2.5,1,8,0.002,circle
77,115,0.086,1,2.5,1,2,0.002,circle
152,228,0.113,1,2.5,1,1,0.002,circle
378,567,0.244,1,2.5,1,0.4,0.002,circle
1005,1508,0.332,0,2.5,1,0.15,0.002,circle
1884,2826,0.578,0,2.5,1,0.08,0.002,circle
22,31,0.092,1,2.5,1,8,0.01,circle
77,115,0.189,1,2.5,1,2,0.01,circle
152,228,0.223,1,2.5,1,1,0.01,circle
378,567,0.557,1,2.5,1,0.4,0.01,circle
1005,1508,0.805,0,2.5,1,0.15,0.01,circle
1884,2826,0.863,0,2.5,1,0.08,0.01,circle
22,31,0.215,1,2.5,1,8,0.05,circle
77,115,0.248,1,2.5,1,2,0.05,circle
152,228,0.316,1,2.5,1,1,0.05,circle
378,567,0.691,1,2.5,1,0.4,0.05,circle
1005,1508,0.875,0,2.5,1,0.15,0.05,circle
1884,2826,0.859,0,2.5,1,0.08,0.05,circle
22,31,0.256,1,2.5,1,8,0.2,circle
77,115,0.256,1,2.5,1,2,0.2,circle
152,228,0.369,1,2.5,1,1,0.2,circle
378,567,0.67,1,2.5,1,0.4,0.2,circle
1005,1508,0.863,0,2.5,1,0.15,0.2,circle
1884,2826,0.881,0,2.5,1,0.08,0.2,circle
9,12,0.033,1,4,1,8,0,circle
29,42,0.043,1,4,1,2,0,circle
55,81,0.047,1,4,1,1,0,circle
135,201,0.047,1,4,1,0.4,0,circle
356,532,0.047,1,4,1,0.15,0,circle
665,995,0.047,1,4,1,0.08,0,circle
9,12,0.043,1,4,1,8,0.002,circle
29,42,0.041,1,4,1,2,0.002,circle
55,81,0.043,1,4,1,1,0.002,circle
135,201,0.098,1,4,1,0.4,0.002,circle
356,532,0.18,1,4,1,0.15,0.002,circle
665,995,0.188,1,4,1,0.08,0.002,circle
9,12,0.039,1,4,1,8,0.01,circle
29,42,0.082,1,4,1,2,0.01,circle
