scene,zoom,members,inkpx
parallel-rotate,10,12,3853
parallel-rotate,4,30,9633
parallel-rotate,2,60,19267
parallel-rotate,1,120,38533
parallel-rotate,0.5,238,77067
parallel-rotate,0.25,476,154133
parallel-rotate,0.1,1188,385333
circle-parallel,10,9,2890
circle-parallel,4,22,7225
circle-parallel,2,44,14450
circle-parallel,1,89,28900
circle-parallel,0.5,171,57800
circle-parallel,0.25,313,115600
circle-parallel,0.1,749,289000
hexagon-hexagon,10,4,2890
hexagon-hexagon,4,14,7225
hexagon-hexagon,2,28,14450
hexagon-hexagon,1,58,28900
hexagon-hexagon,0.5,116,57800
hexagon-hexagon,0.25,233,115600
hexagon-hexagon,0.1,584,289000
circle-circle,10,10,3303
circle-circle,4,26,8257
circle-circle,2,42,16514
circle-circle,1,76,33029
circle-circle,0.5,144,66057
circle-circle,0.25,282,132114
circle-circle,0.1,694,330286
hyperbola-parallel,10,7,3786
hyperbola-parallel,4,18,9465
hyperbola-parallel,2,36,18930
hyperbola-parallel,1,72,37860
hyperbola-parallel,0.5,145,75720
hyperbola-parallel,0.25,289,151440
hyperbola-parallel,0.1,722,378601
