mpp,lost,scene
0.8044,4.23,parallel-rotate
1.6001,15.17,parallel-rotate
1.9716,86.91,parallel-rotate
0.6091,1.80,circle-parallel
1.2186,9.39,circle-parallel
1.8235,90.82,circle-parallel
3.2176,89.54,circle-parallel
3.6471,91.25,circle-parallel
6.4359,95.93,circle-parallel
0.7148,7.51,hexagon-hexagon
1.4302,15.50,hexagon-hexagon
1.7079,63.51,hexagon-hexagon
3.3941,63.62,hexagon-hexagon
3.4143,95.48,hexagon-hexagon
6.7885,12.20,hexagon-hexagon
0.8452,5.42,circle-circle
1.6979,20.78,circle-circle
1.8679,67.48,circle-circle
3.7408,97.13,circle-circle
3.9075,95.01,circle-circle
7.811,97.65,circle-circle
0.9318,6.43,hyperbola-parallel
1.8019,17.87,hyperbola-parallel
2.1067,24.84,hyperbola-parallel
4.1531,43.65,hyperbola-parallel
4.4448,30.95,hyperbola-parallel
8.6905,36.69,hyperbola-parallel
